,Global_reactive_power,Voltage,Global_intensity,date,month,hour,Minutes,total_metering
46006,0.0,244.57,8.2,17,1,16,10,20.0
379548,0.252,237.75,7.8,9,6,7,12,19.0
259003,0.0,238.8,0.4,14,6,14,7,0.0
707968,0.068,237.44,5.6,21,4,8,52,18.0
506283,0.222,239.14,8.2,12,3,7,27,17.0
1268071,0.06,240.45,8.0,15,5,7,55,20.0
1938457,0.41300000000000003,237.19,4.2,23,8,21,1,3.0
537767,0.0,247.42,1.2,25,12,4,11,0.0
1388152,0.144,243.75,1.0,8,6,17,16,1.0
441738,0.41300000000000003,233.20499999999996,13.9,19,10,11,42,45.0
1650292,0.11,244.26,1.4,2,4,18,16,1.0
1796505,0.208,239.31,7.8,17,5,7,9,18.0
1471772,0.322,239.08,6.4,10,3,18,56,20.0
540924,0.0,242.77,5.8,27,12,8,48,0.0
395961,0.104,240.04,1.0,17,9,16,45,0.0
1854246,0.248,239.73,2.8,26,6,9,30,1.0
1853774,0.0,238.41,0.6,26,6,1,38,1.0
1711087,0.0,243.32,1.8,18,3,23,31,1.0
110054,0.0,242.89,1.0,3,3,3,38,0.0
1844905,0.344,237.58,13.9,19,6,21,49,45.0
90443,0.242,238.2,2.4,17,2,12,47,0.0
1605747,0.084,241.32,11.2,1,4,19,51,19.0
763314,0.114,238.54,1.0,29,5,19,18,0.0
310339,0.06,234.36,5.0,20,7,5,43,17.0
1091087,0.052,241.2,5.6,1,12,10,11,20.0
1049108,0.0,244.55,1.6,14,12,6,32,0.0
453828,0.0,242.73,0.8,27,10,21,12,0.0
1028853,0.054,244.53,1.2,30,11,4,57,0.0
1536215,0.284,242.9,6.6,17,11,12,59,19.0
1188386,0.13,248.38,1.4,20,3,23,50,0.0
1856694,0.338,239.98,2.2,28,6,2,18,1.0
1573231,0.0,247.56,1.0,13,12,5,55,1.0
1542071,0.064,242.47,1.2,21,11,14,35,1.0
1755047,0.0,235.76,13.9,18,4,12,11,45.0
587655,0.05,235.86,8.2,28,1,19,39,0.0
49705,0.0,240.75,5.2,20,1,5,49,0.0
1728641,0.128,244.35,1.4,31,3,4,5,0.0
617157,0.0,237.37,13.9,18,2,7,21,17.0
291450,0.0,241.11,0.4,7,7,2,54,0.0
384416,0.0,237.06,6.6,9,9,16,20,20.0
487924,0.0,240.35,5.6,20,11,13,28,17.0
1521018,0.114,244.01,1.2,11,6,23,42,2.0
1758426,0.074,236.71,10.2,20,4,20,30,17.0
1057647,0.082,244.69,1.2,20,12,4,51,0.0
1017271,0.048,243.56,1.2,22,11,3,55,0.0
1815576,0.0,240.38,1.2,30,5,13,0,0.0
2018500,0.354,240.37,13.9,18,10,11,4,45.0
1601358,0.278,244.01,2.4,1,1,18,42,1.0
52925,0.096,237.79,5.6,22,1,11,29,18.0
922398,0.124,238.93,1.2,17,9,6,42,0.0
1361685,0.41300000000000003,241.59,5.0,19,7,8,9,12.0
1463257,0.136,240.4,11.6,27,9,21,1,23.0
32663,0.24,237.18,6.0,1,8,9,47,18.0
1436526,0.098,238.07,5.6,9,9,7,30,18.0
1382345,0.236,240.84,1.6,8,2,16,29,1.0
1916462,0.2,237.56,5.8,8,8,14,26,18.0
1275787,0.124,243.55,1.6,20,5,16,31,1.0
1209468,0.128,237.47,13.9,4,4,15,12,45.0
1770283,0.056,241.95,2.4,29,4,2,7,1.0
1343965,0.248,241.8,1.6,7,7,0,49,1.0
343267,0.106,234.51,5.2,8,12,2,31,17.0
422356,0.054,239.81,1.6,10,6,0,40,1.0
181711,0.3,233.20499999999996,13.9,21,4,21,55,45.0
245620,0.0,234.36,5.4,6,5,7,4,16.0
1138514,0.264,240.44,11.2,14,2,8,38,19.0
1346209,0.224,240.97,1.8,7,8,14,13,2.0
1413936,0.138,241.01,1.2,24,8,15,0,1.0
350843,0.218,239.46,5.6,17,8,8,47,17.0
1799683,0.258,241.76,9.8,19,5,12,7,31.0
2010903,0.152,241.11,6.0,13,10,4,27,20.0
1669092,0.068,241.89,4.6,17,2,19,36,0.0
1504363,0.088,242.14,1.2,26,10,10,7,1.0
1338340,0.15,241.57,1.2,7,3,3,4,0.0
560365,0.084,237.78,6.6,1,9,20,49,2.0
10050,0.07,238.77,13.9,23,12,16,54,19.0
513377,0.166,238.91,1.8,12,8,5,41,1.0
1823442,0.046,243.38,4.0,6,5,0,6,0.0
1408489,0.342,239.09,2.0,20,8,20,13,3.0
674460,0.0,245.33,1.0,29,3,2,24,0.0
1661451,0.052,244.51,6.8,2,12,12,15,19.0
1132796,0.41300000000000003,241.78,12.2,2,10,9,20,18.0
1242038,0.0,240.99,1.4,27,4,6,2,1.0
1392915,0.15,241.47,1.2,8,10,0,39,1.0
1257269,0.0,240.58,2.0,5,7,19,53,1.0
344901,0.236,235.0,1.4,13,8,5,45,0.0
1639874,0.146,243.83,1.6,28,1,12,38,0.0
1689219,0.0,241.19,1.2,3,3,19,3,1.0
714489,0.092,239.46,2.2,25,4,21,33,2.0
1451787,0.244,236.99,13.9,19,9,21,51,45.0
1433299,0.062,240.54,1.0,9,7,1,43,1.0
43800,0.0,244.1,1.0,16,1,3,24,0.0
1024256,0.194,243.93,6.0,27,11,0,20,1.0
653134,0.204,241.26,3.0,14,3,6,58,0.0
219823,0.0,236.62,5.4,18,5,9,7,17.0
359493,0.124,239.07,5.4,23,8,8,57,19.0
986575,0.068,240.22,6.2,31,10,20,19,18.0
687129,0.062,239.13,11.0,4,6,21,33,1.0
1792026,0.0,243.68,1.2,14,5,4,30,0.0
1421812,0.112,241.41,1.2,30,8,2,16,2.0
1466174,0.272,237.94,13.9,29,9,21,38,45.0
1667751,0.064,238.63,8.2,16,2,21,15,18.0
1738754,0.246,243.58,2.0,4,7,4,38,1.0
431732,0.074,235.53,13.9,10,12,12,56,45.0
1263067,0.254,240.84,8.4,5,11,20,31,19.0
1334456,0.41300000000000003,237.85,11.2,30,6,10,20,18.0
109447,0.088,239.11,1.2,3,2,17,31,0.0
239886,0.058,233.20499999999996,9.0,6,1,7,30,17.0
1444383,0.294,240.38,2.8,14,9,18,27,5.0
1125779,0.0,245.52,1.0,2,5,12,23,0.0
784361,0.078,237.15,5.2,13,6,10,5,18.0
1803960,0.262,237.78,8.6,22,5,11,24,28.0
1023830,0.062,243.4,0.8,26,11,17,14,0.0
1712355,0.07,241.31,7.2,19,3,20,39,0.0
792500,0.112,240.26,1.0,19,6,1,44,1.0
1322438,0.104,241.16,1.0,22,6,2,2,1.0
164395,0.294,235.71,13.9,4,9,21,19,45.0
375037,0.094,238.61,1.0,9,3,4,1,0.0
787232,0.206,241.58,6.8,15,6,9,56,20.0
197436,0.11,235.72,2.2,5,2,20,0,0.0
326726,0.0,234.86,0.4,31,7,14,50,0.0
282294,0.048,240.66,5.8,30,6,18,18,18.0
1910204,0.11,241.74,1.0,8,4,6,8,2.0
1949520,0.0,239.7,2.2,31,8,13,24,0.0
631250,0.0,243.39,0.8,28,2,2,14,0.0
89361,0.266,236.4,11.6,16,2,18,45,0.0
206367,0.178,234.29,1.4,5,9,0,51,0.0
260379,0.104,241.35,0.8,15,6,13,3,0.0
1853908,0.114,243.99,1.0,26,6,3,52,2.0
1695494,0.122,246.67,1.8,3,8,3,38,1.0
59806,0.0,244.91,1.0,27,1,6,10,0.0
589338,0.218,241.77,8.0,29,1,23,42,0.0
1229128,0.0,244.11,1.6,18,4,6,52,1.0
109038,0.0,243.43,0.8,3,2,10,42,0.0
39181,0.154,242.53,5.8,1,12,22,25,0.0
1844641,0.26,242.55,6.2,19,6,17,25,19.0
1553449,0.298,242.02,13.9,29,11,12,13,41.0
114,0.0,234.43,13.9,16,12,19,18,18.0
1589880,0.284,244.38,13.9,24,12,19,24,45.0
730962,0.0,240.79,5.4,5,7,8,6,18.0
575830,0.088,241.46,6.6,20,1,14,34,18.0
1976572,0.06,239.23,6.0,19,9,8,16,19.0
1217718,0.19,238.85,13.9,4,10,8,42,45.0
1861400,0.344,236.93,4.6,7,1,8,44,14.0
1241888,0.124,242.33,6.0,27,4,3,32,20.0
1696827,0.124,244.64,1.6,3,9,1,51,1.0
349892,0.0,241.19,0.4,16,8,16,56,0.0
1346358,0.228,241.73,2.0,7,8,16,42,1.0
933648,0.0,240.84,0.6,25,9,2,12,0.0
940538,0.146,242.04,5.6,29,9,21,2,0.0
1640373,0.298,237.42,13.9,28,1,20,57,28.0
993339,0.266,236.59,10.6,11,5,13,3,23.0
916609,0.0,239.29,0.6,13,9,6,13,1.0
1010134,0.068,241.84,5.8,17,11,4,58,18.0
25277,0.05,244.87,1.0,1,3,6,41,0.0
1488932,0.046,242.71,0.8,15,10,16,56,1.0
276509,0.112,241.83,1.0,26,6,17,53,1.0
554390,0.2,236.63,6.4,1,5,17,14,0.0
906125,0.368,241.08,4.2,9,5,23,29,11.0
1660978,0.086,247.53,1.4,2,12,4,22,3.0
315274,0.176,234.9,1.8,23,7,15,58,0.0
1577803,0.0,246.13,5.6,16,12,10,7,20.0
46797,0.0,242.99,0.8,18,1,5,21,0.0
1978696,0.37,237.97,8.0,20,9,19,40,16.0
381275,0.0,238.09,4.8,9,7,11,59,17.0
1628837,0.186,241.41,13.2,20,1,20,41,19.0
181403,0.228,237.43,5.8,21,4,16,47,18.0
746901,0.0,239.62,0.8,18,5,9,45,1.0
1379174,0.238,241.42,8.2,31,7,11,38,31.0
1216011,0.222,242.11,2.0,4,9,4,15,0.0
1334240,0.0,241.96,6.6,30,6,6,44,20.0
1502993,0.41300000000000003,239.38,7.2,25,10,11,17,19.0
297983,0.118,240.89,1.0,7,11,15,47,0.0
1945931,0.1,241.27,1.2,29,8,1,35,1.0
1318829,0.12,242.37,1.0,19,6,13,53,1.0
1351061,0.11,244.8,0.8,7,11,23,5,1.0
582308,0.078,243.82,1.8,25,1,2,32,1.0
1687778,0.246,239.89,2.6,3,2,19,2,4.0
1032931,0.086,244.05,1.6,12,3,0,55,0.0
49874,0.37,240.5,8.0,20,1,8,38,2.0
1922992,0.0,241.5,0.6,13,8,3,16,1.0
408680,0.352,240.38,6.8,26,9,12,44,21.0
263019,0.07,241.04,0.8,17,6,9,3,0.0
928920,0.364,241.39,7.2,21,9,19,24,12.0
370714,0.114,242.03,1.6,31,8,3,58,2.0
1778246,0.078,236.01,5.6,5,4,14,50,19.0
376958,0.41300000000000003,237.46,13.9,9,4,12,2,45.0
1739892,0.124,245.33,1.6,4,7,23,36,1.0
964007,0.1,240.5,1.8,16,10,4,11,1.0
28232,0.246,237.18,10.2,1,5,7,56,1.0
360522,0.236,240.45,5.6,24,8,2,6,18.0
883087,0.16,244.27,1.0,20,8,23,31,0.0
422195,0.292,239.6,6.0,10,5,21,59,1.0
1219995,0.084,242.03,8.2,4,11,22,39,20.0
60440,0.254,244.84,6.6,27,1,16,44,20.0
926910,0.0,236.12,6.8,20,9,9,54,18.0
683444,0.072,239.57,8.0,4,4,8,8,19.0
1381643,0.236,241.21,1.6,8,2,4,47,0.0
1197099,0.0,245.01,1.4,27,3,1,3,0.0
306274,0.202,233.20499999999996,1.4,17,7,9,58,1.0
1180577,0.1,244.74,6.0,15,3,13,41,18.0
2037845,0.104,244.1,4.4,31,10,21,29,1.0
1861922,0.41300000000000003,239.13,3.8,7,1,17,26,3.0
1632690,0.248,238.24,8.0,23,1,12,54,18.0
683498,0.05,243.48,8.4,4,4,9,2,21.0
944486,0.0,240.94,1.0,10,2,14,50,1.0
1640772,0.0,245.15,1.0,29,1,3,36,0.0
274798,0.104,241.06,1.0,25,6,13,22,0.0
733464,0.326,240.83,2.4,5,9,1,48,2.0
722327,0.0,240.97,1.2,5,1,8,11,0.0
381907,0.168,242.38,1.8,9,7,22,31,0.0
1245534,0.0,241.53,1.4,29,4,16,18,1.0
1495149,0.198,245.62,1.8,20,10,0,33,1.0
1942450,0.078,243.13,1.0,26,8,15,34,0.0
1168984,0.046,242.01,7.2,3,7,12,28,18.0
1211232,0.0,238.32,8.0,4,5,20,36,18.0
703259,0.086,242.84,1.4,18,4,2,23,1.0
2036852,0.166,244.58,6.0,31,10,4,56,1.0
1142729,0.064,239.89,1.0,17,2,6,53,0.0
15542,0.134,242.07,5.6,27,12,12,26,19.0
1973722,0.274,234.25,6.0,17,9,8,46,19.0
24502,0.054,237.17,8.8,1,2,17,46,17.0
1887105,0.132,241.0,1.2,19,7,5,9,1.0
1420189,0.252,245.13,1.6,28,8,23,13,1.0
2042868,0.194,240.6,7.0,11,4,9,12,22.0
1404289,0.12,240.79,5.6,17,8,22,13,1.0
353863,0.0,240.14,0.4,19,8,11,7,0.0
182161,0.0,242.44,0.6,22,4,5,25,0.0
911621,0.084,241.71,1.0,9,9,19,5,1.0
698338,0.0,241.44,1.4,14,4,16,22,1.0
80736,0.128,233.72,13.8,2,10,19,0,17.0
1002539,0.09,240.87,9.8,11,11,22,23,17.0
664805,0.082,241.51,1.4,22,3,9,29,1.0
1814911,0.0,240.9,2.8,30,5,1,55,1.0
191326,0.1,240.81052229987583,2.8,28,4,14,10,1.0
1970808,0.192,237.15,5.8,15,9,8,12,19.0
1022519,0.236,239.46,13.9,25,11,19,23,35.0
920771,0.116,242.47,1.2,16,9,3,35,0.0
1786284,0.306,242.08,2.4,5,10,4,48,2.0
961235,0.0,240.79,1.0,14,10,5,59,1.0
838787,0.102,237.75,1.0,21,7,5,11,1.0
1719134,0.184,239.91,13.9,24,3,13,38,45.0
582785,0.082,240.15,6.4,25,1,10,29,17.0
1830711,0.0,244.35,1.0,6,10,1,15,1.0
1233095,0.148,239.53,10.4,21,4,0,59,18.0
1528018,0.084,241.5,11.0,11,11,20,22,19.0
1871719,0.07,242.58,1.0,7,8,12,43,0.0
1036422,0.188,242.27,6.2,12,5,11,6,19.0
1301453,0.166,239.08,2.4,6,7,12,17,1.0
974001,0.21,241.75,1.8,23,10,2,45,1.0
251359,0.224,242.41,1.8,6,9,6,43,0.0
2014981,0.0,243.88,1.0,16,10,0,25,0.0
1633684,0.122,248.60500000000005,1.6,24,1,5,28,0.0
632281,0.0,237.28,0.8,28,2,19,25,0.0
722018,0.0,240.84,1.0,5,1,3,2,1.0
1006366,0.062,243.58,5.6,14,11,14,10,18.0
1758548,0.11,239.87,2.4,20,4,22,32,0.0
529248,0.084,248.60500000000005,1.4,19,12,6,12,0.0
1958400,0.054,240.16,5.6,9,6,17,24,18.0
1035595,0.19,239.84,12.6,12,4,21,19,18.0
1924300,0.172,241.21,1.6,14,8,1,4,1.0
1481080,0.236,241.96,1.8,10,10,6,4,1.0
65216,0.0,241.21,2.4,31,1,0,20,0.0
2040539,0.352,238.92,8.6,11,2,18,23,29.0
1148496,0.048,240.97,1.0,21,2,7,0,0.0
16359,0.344,247.87,2.2,28,12,2,3,2.0
1615894,0.106,243.1,9.8,1,11,20,58,20.0
808749,0.25,240.13,1.6,30,6,8,33,1.0
910715,0.104,238.7,1.2,9,9,3,59,0.0
664086,0.296,236.55,13.9,21,3,21,30,18.0
412941,0.102,238.17,6.6,29,9,11,45,17.0
313365,0.108,236.04,1.0,22,7,8,9,0.0
1163869,0.048,246.25,1.2,3,3,23,13,0.0
1986221,0.1,240.81052229987583,2.8,26,9,1,5,1.0
1059301,0.0,238.59,13.4,21,12,8,25,18.0
1644198,0.232,245.84,2.2,31,1,12,42,1.0
1073533,0.06,243.39,1.2,31,12,5,37,1.0
1817080,0.184,238.42,1.6,31,5,14,4,1.0
428683,0.0,236.21,1.0,10,10,10,7,0.0
286824,0.062,241.52,3.0,7,3,21,48,0.0
86500,0.278,234.59,11.8,14,2,19,4,1.0
1530241,0.082,238.16,6.0,13,11,9,25,18.0
1735045,0.0,242.16,5.4,4,4,14,49,18.0
154980,0.0,237.07,5.2,4,3,8,24,18.0
960909,0.0,242.0,1.4,14,10,0,33,1.0
379761,0.084,236.55,0.8,9,6,10,45,0.0
462124,0.1,240.05,5.6,11,2,15,28,17.0
1602496,0.058,246.94,1.2,1,2,13,40,1.0
1339853,0.0,244.76,0.6,7,4,4,17,0.0
694517,0.2,243.97,5.0,4,12,0,41,1.0
172803,0.1,238.62,1.0,15,4,17,27,0.0
1671197,0.0,242.75,2.4,19,2,6,41,0.0
700299,0.078,244.36,1.6,16,4,1,3,1.0
696440,0.174,242.21,3.2,13,4,8,44,2.0
1585143,0.05,243.46,7.0,21,12,12,27,18.0
897835,0.23,239.96,3.6,31,8,5,19,12.0
1654791,0.0,236.58,6.4,2,7,21,15,2.0
1050068,0.11,241.91,3.4,14,12,22,32,0.0
1880130,0.0,240.8,1.0,14,7,8,54,1.0
597623,0.216,239.4,2.0,2,4,17,47,2.0
1189204,0.07,242.04,6.4,21,3,13,28,18.0
1140970,0.086,245.45,1.8,16,2,1,34,0.0
428337,0.312,241.19,2.2,10,10,4,21,2.0
546974,0.236,241.71,6.4,31,12,13,38,18.0
986243,0.062,245.59,6.2,31,10,14,47,18.0
1666055,0.0,245.68,1.0,15,2,16,59,1.0
665527,0.0,240.51,12.2,22,3,21,31,18.0
588951,0.09,240.84,2.4,29,1,17,15,0.0
1855052,0.254,243.48,1.6,26,6,22,56,2.0
2032477,0.106,247.79,1.6,28,10,4,1,1.0
1543712,0.056,236.99,13.9,22,11,17,56,17.0
25138,0.202,246.82,1.6,1,3,4,22,0.0
1392979,0.154,242.55,1.2,8,10,1,43,1.0
1652012,0.0,239.75,6.4,2,5,22,56,19.0
132940,0.0,239.96,1.0,19,3,1,4,0.0
1085947,0.106,241.54,10.0,1,8,20,31,18.0
1703488,0.148,245.22,1.8,13,3,16,52,1.0
1625762,0.258,242.91,5.0,18,1,17,26,2.0
896569,0.0,239.56,0.2,30,8,8,13,0.0
1955499,0.286,243.53,2.0,9,4,17,3,1.0
293618,0.224,240.88,1.6,7,8,15,2,1.0
934267,0.0,243.82,0.6,25,9,12,31,1.0
357329,0.116,239.22,3.0,21,8,20,53,0.0
1022701,0.0,241.61,9.4,25,11,22,25,18.0
614794,0.054,242.39,2.6,16,2,15,58,0.0
1357114,0.232,241.6,1.6,16,7,3,58,3.0
840730,0.06,238.82,2.0,22,7,13,34,1.0
598024,0.084,244.38,1.2,2,5,0,28,1.0
33489,0.27,245.39,1.8,1,8,23,33,1.0
1102276,0.052,244.49,5.6,20,1,4,40,20.0
1003217,0.066,239.75,5.2,11,12,9,41,18.0
1240878,0.062,238.75,7.6,26,4,10,42,20.0
415535,0.168,241.17,2.0,10,1,6,59,0.0
417376,0.122,237.54,7.2,10,2,13,40,19.0
1160981,0.074,245.07,1.6,3,1,23,5,0.0
791605,0.41300000000000003,233.6,13.9,18,6,10,49,45.0
273981,0.078,243.15,0.8,24,6,23,45,0.0
147882,0.202,237.76,6.0,29,3,10,6,17.0
1774929,0.172,238.19,6.0,5,2,7,33,19.0
139925,0.0,236.32,8.6,23,3,21,29,18.0
1811945,0.052,241.23,1.0,28,5,0,29,1.0
104325,0.12,240.3,1.4,27,2,4,9,0.0
126942,0.074,236.27,11.8,14,3,21,6,17.0
1736515,0.0,247.05,1.0,4,5,15,19,1.0
886273,0.0,242.25,0.2,23,8,4,37,0.0
733069,0.41300000000000003,238.81,4.8,5,8,19,13,4.0
26592,0.264,239.97,10.2,1,4,4,36,1.0
1217463,0.0,241.52,1.0,4,10,4,27,0.0
1452855,0.296,242.34,2.0,20,9,15,39,3.0
1501478,0.41300000000000003,234.19,13.9,24,10,10,2,39.0
589161,0.05,238.52,9.6,29,1,20,45,0.0
1202058,0.07,237.51,6.4,30,3,11,42,17.0
1126441,0.0,245.07,1.6,2,5,23,25,0.0
1359343,0.1,243.89,1.6,17,7,17,7,1.0
1858560,0.306,236.27,11.0,29,6,9,24,39.0
548927,0.294,242.26,4.4,1,1,22,11,3.0
807807,0.126,241.58,1.2,29,6,16,51,0.0
1357499,0.238,243.21,1.6,16,7,10,23,2.0
74183,0.12,240.86,1.4,2,6,5,47,0.0
1704983,0.146,238.42,9.4,14,3,17,47,18.0
1035856,0.066,244.58,3.6,12,5,1,40,0.0
979180,0.07,242.39,5.6,26,10,17,4,18.0
74485,0.164,239.29,3.8,2,6,10,49,0.0
1592452,0.0,243.1,6.8,26,12,14,16,19.0
1359820,0.108,239.07,1.0,18,7,1,4,1.0
263431,0.124,241.67,1.6,17,6,15,55,0.0
576826,0.0,236.66,8.0,21,1,7,10,17.0
641376,0.062,242.91,5.6,3,6,3,0,0.0
1380454,0.228,238.67,1.6,8,1,8,58,1.0
553805,0.0,241.53,1.0,1,5,7,29,0.0
541849,0.0,245.52,1.4,28,12,0,13,0.0
1901248,0.214,240.52,1.6,29,7,0,52,1.0
2002894,0.08,241.75,5.8,10,7,14,58,19.0
1373998,0.268,242.77,1.8,27,7,21,22,2.0
1164183,0.046,245.05,1.2,3,4,4,27,0.0
552233,0.26,246.26,2.0,1,4,5,17,1.0
1426219,0.084,244.28,1.2,9,2,3,43,0.0
1646429,0.0,242.92,1.0,2,2,1,53,0.0
